"Course Id","Course Name",Provider,Universities/Institutions,"Parent Subject","Child Subject",Url,"Next Session Date",Length,Video(Url)
368,"Rationing and Allocating Scarce Medical Resources",Coursera,"University of Pennsylvania",Humanities,,https://www.coursera.org/course/rationing,"20th May, 2013",,https://d1a2y8pfnfh44t.cloudfront.net/jtheNsEOW5c/|||https://d15cw65ipctsrr.cloudfront.net/3f/8ca5a0352d11e4a1481570b8fd189d/large-icon.png
369,Neuroethics,Coursera,"University of Pennsylvania",Humanities,,https://www.coursera.org/course/neuroethics,"30th Sep, 2013",,https://d1a2y8pfnfh44t.cloudfront.net/-p3iFE06q14/|||https://d15cw65ipctsrr.cloudfront.net/35/a7b020352d11e48e9c2583f964c285/large-icon.png
370,"Introduction to Mathematical Thinking",Coursera,"Stanford University","Mathematics and Stats","Basic Math & Calculus",https://www.coursera.org/course/maththink,"14th Feb, 2015",10,https://d1a2y8pfnfh44t.cloudfront.net/0xCRl54AjX0/|||https://d15cw65ipctsrr.cloudfront.net/2e/1d9a90352d11e485fc9138b3373442/large-icon.png
371,"Design: Creation of Artifacts in Society",Coursera,"University of Pennsylvania",Engineering,,https://www.coursera.org/course/design,"20th Oct, 2014",,https://d1a2y8pfnfh44t.cloudfront.net/ddb927303f5011e48d2ac7873b01753f/|||https://d15cw65ipctsrr.cloudfront.net/16/5028b0352d11e49acdcfd9c2fca6c5/large-icon.png
372,"An Introduction to Operations Management",Coursera,"Wharton School of the University of Pennsylvania","Business & Management",,https://www.coursera.org/course/operations,"29th Sep, 2014",,https://d1a2y8pfnfh44t.cloudfront.net/c27RChRr6N0/|||https://d15cw65ipctsrr.cloudfront.net/32/ba3f10352b11e48239673584835daa/coursera_operations_600.png
373,"Machine Learning",Coursera,"University of Washington","Computer Science","Artificial Intelligence",https://www.coursera.org/course/machlearning,NA,,
374,"Algorithms: Design and Analysis, Part 1",Coursera,"Stanford University","Computer Science",,https://www.coursera.org/course/algo,"19th Jan, 2015",6,https://d1a2y8pfnfh44t.cloudfront.net/_gr7o5ynhnw/|||https://d15cw65ipctsrr.cloudfront.net/04/530e70352d11e49571adff5b3c00f3/large-icon.png
375,"Computer Science 101",Coursera,"Stanford University","Computer Science",,https://www.coursera.org/course/cs101,"Self paced",,https://d1a2y8pfnfh44t.cloudfront.net/nnBbf8FG5Hw/|||https://d15cw65ipctsrr.cloudfront.net/14/a18e50352d11e49571adff5b3c00f3/large-icon.png
376,Automata,Coursera,"Stanford University","Computer Science",,https://www.coursera.org/course/automata,"1st Sep, 2014",6,https://d1a2y8pfnfh44t.cloudfront.net/Tb_2HdsqypI/|||https://d15cw65ipctsrr.cloudfront.net/0a/777980352d11e4b07f0965d0c0162f/large-icon.png
378,"Bioelectricity: A Quantitative Approach",Coursera,"Duke University",Science,"Chemistry, Biology, & Life Sciences",https://www.coursera.org/course/bioelectricity,"25th Aug, 2014",7,https://d1a2y8pfnfh44t.cloudfront.net/ekfqX1XQl2Q/|||https://d15cw65ipctsrr.cloudfront.net/0d/386e40352d11e49a597321ba86b5f4/large-icon.png
379,"Healthcare Innovation and Entrepreneurship",Coursera,"Duke University","Business & Management",Entrepreneurship,https://www.coursera.org/course/healthcareinnovation,"21st Apr, 2014",6,https://d1a2y8pfnfh44t.cloudfront.net/eMFySM3za3k/|||https://d15cw65ipctsrr.cloudfront.net/24/1369d0352d11e4983ad3612bf5dfa7/large-icon.png
380,"Introductory Human Physiology",Coursera,"Duke University",Science,"Chemistry, Biology, & Life Sciences",https://www.coursera.org/course/humanphysio,"1st Sep, 2014",,https://d1a2y8pfnfh44t.cloudfront.net/qkyMKUqMYdE/|||https://d15cw65ipctsrr.cloudfront.net/25/562300352d11e4b07f0965d0c0162f/large-icon.png
381,"Introduction to Genetics and Evolution",Coursera,"Duke University",Science,"Chemistry, Biology, & Life Sciences",https://www.coursera.org/course/geneticsevolution,"1st Jan, 2015",11,https://d1a2y8pfnfh44t.cloudfront.net/oWtkfohIG80/|||https://d15cw65ipctsrr.cloudfront.net/20/34f720352d11e4af4bdd0c6ca4b30a/large-icon.png
382,"Introduction to Astronomy",Coursera,"Duke University",Science,"Physics & Astronomy",https://www.coursera.org/course/introastro,"1st Dec, 2014",13,https://d1a2y8pfnfh44t.cloudfront.net/lOmXPQtQzC8/|||https://d15cw65ipctsrr.cloudfront.net/2a/93d790352d11e49dc56df018365453/large-icon.png
383,"Think Again: How to Reason and Argue",Coursera,"Duke University",Humanities,,https://www.coursera.org/course/thinkagain,"5th Jan, 2015",12,https://d1a2y8pfnfh44t.cloudfront.net/RttFUoptn9o/|||https://d15cw65ipctsrr.cloudfront.net/44/c1a7a0352d11e48239673584835daa/large-icon.png
384,"Medical Neuroscience",Coursera,"Duke University","Health & Medicine","Disease and Medicine",https://www.coursera.org/course/medicalneuro,"5th Jan, 2015",12,https://d1a2y8pfnfh44t.cloudfront.net/q5kUhps_F0Q/|||https://d15cw65ipctsrr.cloudfront.net/30/693840352d11e49a597321ba86b5f4/large-icon.png
385,"Learn to Program: The Fundamentals",Coursera,"University of Toronto","Computer Science",,https://www.coursera.org/course/programming1,"19th Aug, 2013",10,https://d1a2y8pfnfh44t.cloudfront.net/2lWYkj_EQw0/|||https://d15cw65ipctsrr.cloudfront.net/3d/1982c0352d11e49571adff5b3c00f3/large-icon.png
386,"Data Analysis",Coursera,"Johns Hopkins University","Computer Science","Data Science and Big Data",https://www.coursera.org/course/dataanalysis,"28th Oct, 2013",8,https://d1a2y8pfnfh44t.cloudfront.net/-lutj1vrPwQ/|||https://d15cw65ipctsrr.cloudfront.net/f0/2cf694d28c1bca40bc1604b0d43c46/data_B-02.jpg
